sujet,date,statut
Quelles sont les origines de la représentation des animaux dans l'art mural préhistorique ?,2025-10-15T14:59:29.143190,succès
Pourquoi les bestiaires médiévaux influencent-ils encore l'art mural animalier contemporain ?,2025-10-17T09:36:26.749737,succès
Comment les fresques de Lascaux ont-elles révolutionné notre compréhension de l'art animalier primitif ?,2025-10-21T09:46:35.098062,succès
Quelle est la signification du lion dans les mosaïques byzantines ?,2025-10-24T09:37:30.015368,succès
Pourquoi les Égyptiens représentaient-ils des divinités à têtes animales sur leurs murs ?,2025-10-28T07:35:03.469034,succès
Comment distinguer un dragon chinois d'un dragon européen dans l'art mural ?,2025-11-04T07:35:01.069073,succès
Quelle technique permettait aux Romains de créer des mosaïques animalières si détaillées ?,2025-11-11T07:36:17.626817,succès
Pourquoi le bestiaire fantastique domine-t-il l'art mural roman ?,2025-11-18T07:17:54.027466,succès
Comment les miniatures persanes ont-elles influencé la représentation des félins dans l'art mural islamique ?,2025-11-25T07:18:55.992056,succès
Quelle est l'origine de la licorne dans l'iconographie murale médiévale ?,2025-12-02T07:21:02.573770,succès
Pourquoi les oiseaux symbolisent-ils l'âme dans tant de fresques chrétiennes ?,2025-12-09T07:20:43.755694,succès
